Lp.;Name;Ingredient;Postać farmaceutyczna;Dawka;Wielkość opakowania;Kat. dost.;EAN;Wytwórca;Kraj wytwórcy
8086;Rivastigmine Torrent;Rivastigminum;kapsułki twarde;6 mg;"2 kaps.
4 kaps.
10 kaps.
14 kaps.
20 kaps.
28 kaps.
30 kaps.
50 kaps.
56 kaps.
60 kaps.
90 kaps.
98 kaps.
100 kaps.
112 kaps.
120 kaps.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990907533
5909990907540
5909990907557
5909990907564
5909990907571
5909990907588
5909990907595
5909990907601
5909990907625
5909990907632
5909990907649
5909990907656
5909990907663
5909990907670
5909990907687";Heumann Pharma GmbH & Co. Generica KG;D
8087;Rivastin 1,5 mg;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps.
56 kaps.";"Rpz
Rpz";"5909990875955
5909990875962";Zakłady Farmaceutyczne POLPHARMA S.A.;PL
8088;Rivastin 3,0 mg;Rivastigminum;kapsułki twarde;3,0 mg;"28 kaps.
56 kaps.";"Rpz
Rpz";"5909990875979
5909990875986";Zakłady Farmaceutyczne POLPHARMA S.A.;PL
8089;Rivastin 4,5 mg;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
56 kaps.";"Rpz
Rpz";"5909990876037
5909990876044";Zakłady Farmaceutyczne POLPHARMA S.A.;PL
8090;Rivastin 6,0 mg;Rivastigminum;kapsułki twarde;6,0 mg;"28 kaps.
56 kaps.";"Rpz
Rpz";"5909990876143
5909990876150";Zakłady Farmaceutyczne POLPHARMA S.A.;PL
8091;Rivastinorm;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps.
56 kaps.
98 kaps.";"Rp
Rp
Rp";"5909990806935
5909990806942
5909990806959";"Genericon Pharma Gesellschaft m.b.H.
Synthon B.V.
Synthon Hispania S.L.";"A

NL
E"
8092;Rivastinorm;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
56 kaps.
98 kaps.";"Rp
Rp
Rp";"5909990806966
5909990806973
5909990806980";"Genericon Pharma Gesellschaft m.b.H.
Synthon B.V.
Synthon Hispania S.L.";"A

NL
E"
8093;Rivastinorm;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
56 kaps.
98 kaps.";"Rp
Rp
Rp";"5909990806997
5909990807000
5909990807031";"Genericon Pharma Gesellschaft m.b.H.
Synthon B.V.
Synthon Hispania S.L.";"A

NL
E"
8094;Rivastinorm;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
56 kaps.
98 kaps.";"Rp
Rp
Rp";"5909990807048
5909990807055
5909990807062";"Genericon Pharma Gesellschaft m.b.H.
Synthon B.V.
Synthon Hispania S.L.";"A

NL
E"
8095;Rivaxon;Rivastigminum;kapsułki twarde;1,5 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990795307
5909990795321
5909990795338";"Biogened S.A
Genepharm S.A.";"PL
GR"
8096;Rivaxon;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990795376
5909990795383
5909990795390";"Biogened S.A
Genepharm S.A.";"PL
GR"
8097;Rivaxon;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990795567
5909990795574
5909990795581";"Biogened S.A
Genepharm S.A.";"PL
GR"
8098;Rivaxon;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
56 kaps.
112 kaps.";"Rp
Rp
Rp";"5909990795598
5909990795604
5909990795635";"Biogened S.A
Genepharm S.A.";"PL
GR"
8099;Riveka;Rivastigminum;kapsułki twarde;1,5 mg;28 kaps.;Rp;5909990796250;"Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";PL
8100;Riveka;Rivastigminum;kapsułki twarde;3 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990796458
5909990796465";"WELDING GmbH & Co. KG
Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";"D
PL"
8101;Riveka;Rivastigminum;kapsułki twarde;4,5 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990796472
5909990796489";"Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";PL
8102;Riveka;Rivastigminum;kapsułki twarde;6 mg;"28 kaps.
56 kaps.";"Rp
Rp";"5909990796571
5909990796588";"Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";PL
8103;Rivel;Ethacridini lactas;żel;5 mg/g (0,5%);"1 tuba 30 g
1 tuba 100 g";"OTC
OTC";"5909991000417
5909991000424";EMO-FARM Sp. z o.o.;PL
8104;Rizagren;Rizatriptanum;tabletki;5 mg;"1 tabl.
2 tabl.
3 tabl.
6 tabl.
12 tabl.
18 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990837557
5909990837564
5909990837571
5909990837588
5909990837595
5909990837601";"SANOFI-AVENTIS Sp. z o.o.
Zentiva a.s.
Zentiva k.s.";"PL
SK
CZ"
8105;Rizagren;Rizatriptanum;tabletki;10 mg;"1 tabl.
2 tabl.
3 tabl.
6 tabl.
12 tabl.
18 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990837687
5909990837694
5909990837700
5909990837724
5909990837731
5909990837748";"SANOFI-AVENTIS Sp. z o.o.
Zentiva a.s.
Zentiva k.s.";"PL
SK
CZ"
8106;Rizin;Donepezili hydrochloridum;tabletki powlekane;5 mg;"28 tabl.
30 tabl.
56 tabl.
60 tabl.
84 tabl.
90 tabl.
120 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990776146
5909990776153
5909990776160
5909990776177
5909990776184
5909990776191
5909990776207";"PLIVA Kraków Zakłady Farmaceutyczne S.A.
Teva UK Ltd.";"PL
GB"
8107;Rizin;Donepezili hydrochloridum;tabletki powlekane;10 mg;"7 tabl.
28 tabl.
30 tabl.
56 tabl.
60 tabl.
84 tabl.
90 tabl.
120 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990776221
5909990776238
5909990776245
5909990776252
5909990776269
5909990776276
5909990776283
5909990776290";"AWD Pharma GmbH & Co. KG
Pliva Lachema a.s.";"D
CZ"
8108;Robinia pseudo-acacia;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 2CH - 15CH, Rp: 30CH - 200CH; 6K - 100MK";"5909990665433
5909990665426
5909990665457
5909997131689
5909997131535
5909997131832
5909997131696
5909997131542
5909997131849
5909997131702
5909997131559
5909997131856
5909997131719
5909997131566
5909997131863
5909997131726
5909997131573
5909997131870
5909997131733
5909997131580
5909997131887
5909997131740
5909997131597
5909997131894
5909997131757
5909997131603
5909997131900
5909997131764
5909997131610
5909997131917";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997131771
5909997131627
5909997131924
5909997131788
5909997131634
5909997131931
5909997131795
5909997131641
5909997131948
5909997131801
5909997131658
5909997131955
5909997131818
5909997131665
5909997131962
5909997131825
5909997131672
5909997131979";;
8109;Robitussin Antitussicum;Dextromethorphani hydrobromidum;syrop;7,5 mg/5 ml;1 butelka 100 ml;OTC;5909990821518;Doppel Farmaceutici S.r.l.;I
8110;Robitussin Expectorans;Guaifenesinum;syrop;100 mg/5 ml;1 butelka 100 ml;OTC;5909990821617;Doppel Farmaceutici S.r.l.;I
8111;Robitussin Junior;Dextromethorphani hydrobromidum;syrop;3,75 mg/5 ml;1 butelka 100 ml;OTC;5909990846511;Doppel Farmaceutici S.r.l.;I
8112;Rocuronium B. Braun;Rocuronii bromidum;roztwór do wstrzykiwań lub do infuzji;10 mg/ml;"10 fiol. 2,5 ml
10 fiol. 5 ml
10 fiol. 10 ml";"Rp
Rp
Rp";"5909990743230
5909990743247
5909990743254";Hameln Pharmceuticals GmbH;D
8113;Rocuronium Kabi;Rocuronii bromidum;roztwór do wstrzykiwań lub infuzji;10 mg/ml;"5 fiol. 2,5 ml
5 fiol. 5 ml
5 fiol. 10 ml
10 fiol. 2,5 ml
10 fiol. 5 ml
10 fiol. 10 ml";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990700271
5909990700288
5909990700295
5909990700301
5909990700318
5909990700325";"Fresenius Kabi Austria GmbH
Hameln Pharmceuticals GmbH";"A
D"
8114;Rocuronium Sandoz;Rocuronii bromidum;roztwór do wstrzykiwań lub koncentrat do sporządzania roztworu do infuzji;10 mg;"10 fiol. 5 ml
10 fiol. 10 ml
12 fiol. 5 ml
12 fiol. 10 ml";"Rp
Rp
Rp
Rp";"5909990710287
5909990710294
5909990710300
5909990710324";"Lek Pharmaceuticals d.d.
Salutas Pharma GmbH";"SLO
D"
8115;Rocuronium Tamarang;Rocuronii bromidum;roztwór do wstrzykiwań/do infuzji;10 mg/ml;"10 fiol. 5 ml
10 fiol. 10 ml
12 fiol. 5 ml";"Lz
Lz
Lz";"5909990782802
5909990782833
5909990782826";Solupharm Pharmazeutische Erzeugnisse GmbH;D
8116;Rocuronium Teva;Rocuronii bromidum;roztwór do wstrzykiwań/do infuzji;10 mg/ml;"1 fiol. 2,5 ml
1 fiol. 5 ml
1 fiol. 10 ml
10 fiol. 2,5 ml
10 fiol. 5 ml
10 fiol. 10 ml
12 fiol. 5 ml
20 fiol. 10 ml
60 fiol. 5 ml";"Lz
Lz
Lz
Lz
Lz
Lz
Lz
Lz
Lz";"5909990812097
5909990812110
5909990812158
5909990812103
5909990812127
5909990812165
5909990812134
5909990812172
5909990812141";"Pharmachemie B.V.
TEVA Pharmaceutical Works Private Limited Company";"NL
H"
8117;Roferon-A;Interferonum alfa-2a;roztwór do wstrzykiwań;3 mln j.m./0,5 ml;1 strzyk. z igłą 0,5 ml;Rp;5909990465118;Roche Polska Sp. z o.o.;PL
8118;Roferon-A;Interferonum alfa-2a;roztwór do wstrzykiwań;6 mln j.m./0,5 ml;1 strzyk. z igłą 0,5 ml;Rp;5909990465316;Roche Polska Sp. z o.o.;PL
8119;Roferon-A;Interferonum alfa-2a;roztwór do wstrzykiwań;9 mln j.m./0,5 ml;1 strzyk. z igłą 0,5 ml;Rp;5909990465415;Roche Polska Sp. z o.o.;PL
8120;Rolicyn;Roxithromycinum;tabletki powlekane;50 mg;10 tabl.;Rp;5909990847815;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";PL
8121;Rolicyn;Roxithromycinum;tabletki powlekane;100 mg;10 tabl.;Rp;5909990847914;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";PL
8122;Rolicyn;Roxithromycinum;tabletki powlekane;150 mg;10 tabl.;Rp;5909990848010;"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";PL
8123;Rolpryna SR;Ropinirolum;tabletki o przedłużonym uwalnianiu;2 mg;28 tabl.;Rp;5909990855766;"Krka d.d., Novo mesto
TAD Pharma GmbH";"SLO
D"
8124;Rolpryna SR;Ropinirolum;tabletki o przedłużonym uwalnianiu;4 mg;28 tabl.;Rp;5909990855773;"Krka d.d., Novo mesto
TAD Pharma GmbH";"SLO
D"
8125;Rolpryna SR;Ropinirolum;tabletki o przedłużonym uwalnianiu;8 mg;28 tabl.;Rp;5909990855780;"Krka d.d., Novo mesto
TAD Pharma GmbH";"SLO
D"
8126;Romapal;tert-Butylamini perindoprilum + Indapamidum;tabletki;2 mg + 0,625 mg;"28 tabl.
30 tabl.
56 tabl.
60 tabl.
90 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990839247
5909990839254
5909990839261
5909990839278
5909990839285";"Galex d.d.
Weimer Pharma GmbH";"SLO
D"
8127;Romapal;tert-Butylamini perindoprilum + Indapamidum;tabletki;4 mg + 1,25 mg;"28 tabl.
30 tabl.
56 tabl.
60 tabl.
90 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990839292
5909990839308
5909990839339
5909990839346
5909990839353";"Galex d.d.
Weimer Pharma GmbH";"SLO
D"
8128;Romazic;Rosuvastatinum;tabletki powlekane;5 mg;30 tabl.;Rp;5909990919574;Zakłady Farmaceutyczne POLPHARMA S.A.;PL
8129;Romazic;Rosuvastatinum;tabletki powlekane;10 mg;30 tabl.;Rp;5909990919604;Zakłady Farmaceutyczne POLPHARMA S.A.;PL
8130;Romazic;Rosuvastatinum;tabletki powlekane;20 mg;30 tabl.;Rp;5909990919659;Zakłady Farmaceutyczne POLPHARMA S.A.;PL
8131;Romazic;Rosuvastatinum;tabletki powlekane;40 mg;30 tabl.;Rp;5909990919673;Zakłady Farmaceutyczne POLPHARMA S.A.;PL
8132;Ropimol;Ropivacaini hydrochloridum;roztwór do infuzji;2 mg/ml;"5 worków 100 ml
5 worków 200 ml";"Lz
Lz";"5909990723348
5909990723355";"L.Molteni & C. dei F.lii Alitti Societa di Esercizio S.p.A.
Merckle GmbH";"I
D"
8133;Ropimol;Ropivacaini hydrochloridum;roztwór do wstrzykiwań;2 mg/ml;"5 amp. 10 ml
5 amp. 20 ml";"Lz
Lz";"5909990723324
5909990723331";"L.Molteni & C. dei F.lii Alitti Societa di Esercizio S.p.A.
Merckle GmbH";"I
D"
8134;Ropimol;Ropivacaini hydrochloridum;roztwór do wstrzykiwań;7,5 mg/ml;"5 amp. 10 ml
5 amp. 20 ml";"Lz
Lz";"5909990723294
5909990723300";"L.Molteni & C. dei F.lii Alitti Societa di Esercizio S.p.A.
Merckle GmbH";"I
D"
8135;Ropimol;Ropivacaini hydrochloridum;roztwór do wstrzykiwań;10 mg/ml;"5 amp. 10 ml
5 amp. 20 ml";"Lz
Lz";"5909990723362
5909990723379";"L.Molteni & C. dei F.lii Alitti Societa di Esercizio S.p.A.
Merckle GmbH";"I
D"
8136;Ropinir;Ropinirolum;tabletki powlekane;0,25 mg;"21 tabl.
30 tabl.
84 tabl.
100 tabl.
210 tabl. (21 x 10)
210 tabl. (30 x 7)";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990699445
5909990699452
5909990713882
5909990713899
5909990699469
5909990699476";"Actavis Ltd.
Biovena Pharma Sp. z o.o.";"MT
PL"
8137;Ropinir;Ropinirolum;tabletki powlekane;0,5 mg;"21 tabl.
28 tabl.
30 tabl.
84 tabl.";"Rp
Rp
Rp
Rp";"5909990699506
5909990699599
5909990699605
5909990699629";"Actavis Ltd.
Biovena Pharma Sp. z o.o.";"MT
PL"
8138;Ropinir;Ropinirolum;tabletki powlekane;1 mg;"21 tabl.
28 tabl.
30 tabl.
84 tabl.";"Rp
Rp
Rp
Rp";"5909990699667
5909990699674
5909990699681
5909990699698";"Actavis Ltd.
Biovena Pharma Sp. z o.o.";"MT
PL"
8139;Ropinir;Ropinirolum;tabletki powlekane;2 mg;"21 tabl.
28 tabl.
30 tabl.
84 tabl.";"Rp
Rp
Rp
Rp";"5909990699896
5909990699902
5909990699933
5909990699940";"Actavis Ltd.
Biovena Pharma Sp. z o.o.";"MT
PL"
8140;Ropinir;Ropinirolum;tabletki powlekane;3 mg;"21 tabl.
30 tabl.
84 tabl.";"Rp
Rp
Rp";"5909990699988
5909990699995
5909990700004";"Actavis Ltd.
Biovena Pharma Sp. z o.o.";"MT
PL"
8141;Ropinir;Ropinirolum;tabletki powlekane;4 mg;"21 tabl.
30 tabl.
84 tabl.";"Rp
Rp
Rp";"5909990700035
5909990700042
5909990700059";"Actavis Ltd.
Biovena Pharma Sp. z o.o.";"MT
PL"
8142;Ropinir;Ropinirolum;tabletki powlekane;5 mg;"21 tabl.
30 tabl.
84 tabl.";"Rp
Rp
Rp";"5909990700066
5909990700073
5909990700080";"Actavis Ltd.
Biovena Pharma Sp. z o.o.";"MT
PL"
8143;Ropinirole Arrow;Ropinirolum;tabletki powlekane;0,25 mg;"12 tabl.
14 tabl.
21 tabl.
28 tabl.
42 tabl.
63 tabl.
84 tabl. w blistrach
84 tabl. w butelce
105 tabl.
126 tabl.
147 tabl.
210 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990784981
5909990784998
5909990785001
5909990785025
5909990785032
5909990785049
5909990785056
5909990785100
5909990785063
5909990785070
5909990785087
5909990785094";"Akmon Pharmaceutical Industries LLC
Arrow Generiques SAS
Arrow Pharm (Malta) Limited
Juta Pharma GmbH
Medicofarma S.A.
Selamine Ltd. T/A Arrow Generics Limited";"SLO

F
MT
D
PL
IRL"
8144;Ropinirole Arrow;Ropinirolum;tabletki powlekane;0,5 mg;"12 tabl.
14 tabl.
21 tabl.
28 tabl.
42 tabl.
63 tabl.
84 tabl. w blistrach
84 tabl. w butelce
105 tabl.
126 tabl.
147 tabl.
210 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990785162
5909990785179
5909990785186
5909990785193
5909990785209
5909990785230
5909990785247
5909990785292
5909990785254
5909990785261
5909990785278
5909990785285";"Akmon Pharmaceutical Industries LLC
Arrow Generiques SAS
Arrow Pharm (Malta) Limited
Juta Pharma GmbH
Medicofarma S.A.
Selamine Ltd. T/A Arrow Generics Limited";"SLO

F
MT
D
PL
IRL"
8145;Ropinirole Arrow;Ropinirolum;tabletki powlekane;1 mg;"12 tabl.
14 tabl.
21 tabl.
28 tabl.
42 tabl.
63 tabl.
84 tabl. w blistrach
84 tabl. w butelce
105 tabl.
126 tabl.
147 tabl.
210 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990785308
5909990785339
5909990785346
5909990785353
5909990785360
5909990785377
5909990785384
5909990785452
5909990785391
5909990785407
5909990785438
5909990785445";"Akmon Pharmaceutical Industries LLC
Arrow Generiques SAS
Arrow Pharm (Malta) Limited
Juta Pharma GmbH
Medicofarma S.A.
Selamine Ltd. T/A Arrow Generics Limited";"SLO

F
MT
D
PL
IRL"
8146;Ropinirole Arrow;Ropinirolum;tabletki powlekane;2 mg;"12 tabl.
14 tabl.
21 tabl.
28 tabl.
42 tabl.
63 tabl.
84 tabl. w blistrach
84 tabl. w butelce
105 tabl.
126 tabl.
147 tabl.
210 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990785469
5909990785476
5909990785483
5909990785490
5909990785506
5909990785537
5909990785544
5909990785599
5909990785551
5909990785568
5909990785575
5909990785582";"Akmon Pharmaceutical Industries LLC
Arrow Generiques SAS
Arrow Pharm (Malta) Limited
Juta Pharma GmbH
Medicofarma S.A.
Selamine Ltd. T/A Arrow Generics Limited";"SLO

F
MT
D
PL
IRL"
8147;Ropinirole Arrow;Ropinirolum;tabletki powlekane;5 mg;"12 tabl.
14 tabl.
21 tabl.
28 tabl.
42 tabl.
63 tabl.
84 tabl. w blistrach
84 tabl. w butelce
105 tabl.
126 tabl.
147 tabl.
210 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990785704
5909990785735
5909990785742
5909990785759
5909990785766
5909990785773
5909990785780
5909990785841
5909990785797
5909990785803
5909990785827
5909990785834";"Akmon Pharmaceutical Industries LLC
Arrow Generiques SAS
Arrow Pharm (Malta) Limited
Juta Pharma GmbH
Selamine Ltd. T/A Arrow Generics Limited";"SLO

F
MT
D
IRL"
8148;Ropinstad;Ropinirolum;tabletki powlekane;0,25 mg;"21 tabl. (3 x 7)
84 tabl.
210 tabl. (21 x 10)";"Rp
Rp
Rp";"5909990717378
5909990717385
5909990717392";"Generis Farmaceutica, S.A.
STADA Arzneimittel AG";"P
D"
8149;Ropinstad;Ropinirolum;tabletka powlekana;0,5 mg;"21 tabl. 
84 tabl.";"Rp
Rp";"5909990717477
5909990717491";"Generis Farmaceutica, S.A.
STADA Arzneimittel AG";"P
D"
8150;Ropinstad;Ropinirolum;tabletka powlekana;1 mg;"84 tabl. w blistrach
84 tabl. w butelce";"Rp
Rp";"5909990832446
5909990717507";"Generis Farmaceutica, S.A.
STADA Arzneimittel AG";"P
D"
8151;Ropinstad;Ropinirolum;tabletki powlekane;2 mg;"84 tabl. w blistrach
84 tabl. w butelce";"Rp
Rp";"5909990832453
5909990717569";"Generis Farmaceutica, S.A.
STADA Arzneimittel AG";"P
D"
8152;Ropinstad;Ropinirolum;tabletki powlekane;5 mg;"21 tabl. 
84 tabl.";"Rp
Rp";"5909990717576
5909990717590";"Generis Farmaceutica, S.A.
STADA Arzneimittel AG";"P
D"
8153;Ropitor;Ropinirolum;tabletki powlekane;0,25 mg;"2 tabl.
12 tabl.
28 tabl.
84 tabl.";"Rp
Rp
Rp
Rp";"5909990768394
5909990768400
5909990768424
5909990768431";Heumann Pharma GmbH & Co. Generica KG;D
8154;Ropitor;Ropinirolum;tabletki powlekane;0,5 mg;"2 tabl.
12 tabl.
28 tabl.
84 tabl.";"Rp
Rp
Rp
Rp";"5909990768448
5909990768455
5909990768462
5909990768479";Heumann Pharma GmbH & Co. Generica KG;D
8155;Ropitor;Ropinirolum;tabletki powlekane;1 mg;"2 tabl.
12 tabl.
28 tabl.
84 tabl.";"Rp
Rp
Rp
Rp";"5909990768486
5909990768493
5909990768509
5909990768523";Heumann Pharma GmbH & Co. Generica KG;D
8156;Ropitor;Ropinirolum;tabletki powlekane;2 mg;"2 tabl.
12 tabl.
28 tabl.
84 tabl.";"Rp
Rp
Rp
Rp";"5909990768530
5909990768547
5909990768554
5909990768561";Heumann Pharma GmbH & Co. Generica KG;D
8157;Ropitor;Ropinirolum;tabletki powlekane;5 mg;"2 tabl.
12 tabl.
28 tabl.
84 tabl.";"Rp
Rp
Rp
Rp";"5909990768578
5909990768585
5909990768592
5909990768608";Heumann Pharma GmbH & Co. Generica KG;D
8158;Ropivacaine Hydrochloride Hospira;Ropivacainum;roztwór do infuzji;2 mg/ml;"5 fiol. 10 ml
5 fiol. 20 ml
10 fiol. 10 ml
10 fiol. 20 ml";"Lz
Lz
Lz
Lz";"5909990837083
5909990837106
5909990837090
5909990837144";"Hospira S.p.A.
Hospira UK Limited";"I
GB"
8159;Ropivacaine Hydrochloride Hospira;Ropivacainum;roztwór do infuzji;7,5 mg/ml;"5 fiol. 10 ml
5 fiol. 20 ml
10 fiol. 10 ml
10 fiol. 20 ml";"Lz
Lz
Lz
Lz";"5909990837151
5909990837175
5909990837168
5909990837182";"Hospira S.p.A.
Hospira UK Limited";"I
GB"
8160;Ropivacaine Hydrochloride Hospira;Ropivacainum;roztwór do infuzji;10 mg/ml;"5 fiol. 10 ml
5 fiol. 20 ml
10 fiol. 10 ml
10 fiol. 20 ml";"Lz
Lz
Lz
Lz";"5909990837199
5909990837243
5909990837205
5909990837250";"Hospira S.p.A.
Hospira UK Limited";"I
GB"
8161;Ropivacaine IWA;Ropivacaini hydrochloridum;roztwór do infuzji;2 mg/ml;"5 worków 100 ml
5 worków 200 ml";"Lz
Lz";"5909990826575
5909990826582";Pharmathen S.A.;GR
8162;Ropivacaine IWA;Ropivacaini hydrochloridum;roztwór do wstrzykiwań;2 mg/ml;"5 fiol. 10 ml
5 fiol. 20 ml
10 fiol. 10 ml
10 fiol. 20 ml";"Lz
Lz
Lz
Lz";"5909990826599
5909990826629
5909990826605
5909990826636";Pharmathen S.A.;GR
8163;Ropivacaine IWA;Ropivacaini hydrochloridum;roztwór do wstrzykiwań;7,5 mg/ml;"5 fiol. 10 ml
5 fiol. 20 ml
10 fiol. 10 ml
10 fiol. 20 ml";"Lz
Lz
Lz
Lz";"5909990826643
5909990826667
5909990826650
5909990826674";Pharmathen S.A.;GR
8164;Ropivacaine IWA;Ropivacaini hydrochloridum;roztwór do wstrzykiwań;10 mg/ml;"5 fiol. 10 ml
5 fiol. 20 ml
10 fiol. 10 ml
10 fiol. 20 ml";"Lz
Lz
Lz
Lz";"5909990826681
5909990826704
5909990826698
5909990826728";Pharmathen S.A.;GR
8165;Roqurum;Rocuronii bromidum;roztwór do wstrzykiwań;10 mg/ml;"10 fiol. 2,5 ml
10 fiol. 5 ml
10 fiol. 10 ml";"Lz
Lz
Lz";"5909990812486
5909990812493
5909990812509";Hameln Pharmceuticals GmbH;D
8166;Rosucard;Rosuvastatinum;tabletki powlekane;10 mg;"28 tabl.
30 tabl.
84 tabl.
90 tabl.";"Rp
Rp
Rp
Rp";"5909990777259
5909990777266
5909990777273
5909990777280";Zentiva k.s.;CZ
8167;Rosucard;Rosuvastatinum;tabletki powlekane;20 mg;"28 tabl.
30 tabl.
84 tabl.
90 tabl.";"Rp
Rp
Rp
Rp";"5909990777297
5909990777303
5909990777334
5909990777341";Zentiva k.s.;CZ
8168;Rosucard;Rosuvastatinum;tabletki powlekane;40 mg;"28 tabl.
30 tabl.
84 tabl.
90 tabl.";"Rp
Rp
Rp
Rp";"5909990777358
5909990777365
5909990777372
5909990777389";Zentiva k.s.;CZ
8169;Rosugen;Rosuvastatinum;tabletki powlekane;5 mg;"14 tabl.
15 tabl.
28 tabl. w blistrze
28 tabl. w butelce
30 tabl. w blistrze
30 tabl. w butelce
56 tabl. w blistrze
56 tabl. w butelce
60 tabl. w blistrze
60 tabl. w butelce
84 tabl. w blistrze
84 tabl. w butelce
90 tabl. w blistrze
90 tabl. w butelce
98 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990921782
5909990921799
5909990921805
5909990921898
5909990921836
5909990921904
5909990921843
5909990921935
5909990921850
5909990921942
5909990921867
5909990921959
5909990921874
5909990921966
5909990921881";McDermott Laboratories t/a Gerard Laboratories;IRL
8170;Rosugen;Rosuvastatinum;tabletki powlekane;10 mg;"14 tabl.
15 tabl.
28 tabl. w blistrze
28 tabl. w butelce
30 tabl. w blistrze
30 tabl. w butelce
56 tabl. w blistrze
56 tabl. w butelce
60 tabl. w blistrze
60 tabl. w butelce
84 tabl. w blistrze
84 tabl. w butelce
90 tabl. w blistrze
90 tabl. w butelce
98 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rpw
Rp
Rp";"5909990921973
5909990921980
5909990921997
5909990922086
5909990922000
5909990922093
5909990922031
5909990922109
5909990922048
5909990922130
5909990922055
5909990922147
5909990922062
5909990922154
5909990922079";McDermott Laboratories t/a Gerard Laboratories;IRL
